date,product_count
2018-01-08,6176
2018-01-15,7037
2018-01-22,8696
2018-01-29,7546
2018-02-05,21281
2018-02-12,8903
2018-02-19,6223
2018-02-26,12550
2018-03-05,6675
2018-03-12,27497
2018-03-19,10507
2018-03-26,16552
2018-04-02,9181
2018-04-09,7174
2018-04-16,8749
2018-04-23,29832
2018-04-30,18862
2018-05-07,22000
2018-05-14,16079
2018-05-21,22762
2018-05-28,14017
2018-06-04,11101
2018-06-11,2002
2018-06-18,12909
2018-06-25,35544
2018-07-02,9047
2018-07-09,10336
2018-07-16,19573
2018-07-23,13571
2018-07-30,29898
2018-08-06,19854
2018-08-13,10860
2018-08-20,11719
2018-08-27,13731
2018-09-03,10510
2018-09-10,11906
2018-09-17,24792
2018-09-24,33732
2018-10-01,30493
2018-10-08,14723
2018-10-15,4635
2018-10-22,15016
2018-10-29,12512
2018-11-05,19599
2018-11-12,25568
2018-11-19,25986
2018-11-26,20285
2018-12-03,29088
2018-12-10,23657
2018-12-17,31268
2018-12-24,19455
2018-12-31,1558
2019-01-07,2267
2019-01-14,17600
2019-01-21,25984
2019-01-28,37420
2019-02-04,24621
2019-02-11,33637
2019-02-18,16036
2019-02-25,15130
2019-03-04,16035
2019-03-11,23613
2019-03-18,21638
2019-03-25,15458
2019-04-01,8649
2019-04-08,1545
2019-04-15,3758
2019-04-22,4839
2019-04-29,4631
2019-05-06,14283
2019-05-13,9162
2019-05-20,4841
2019-05-27,18530
2019-06-03,5405
2019-06-10,5813
2019-06-17,17777
2019-06-24,24809
2019-07-01,17589
2019-07-08,27156
2019-07-15,6863
2019-07-22,15667
2019-07-29,19375
2019-08-05,5016
2019-08-12,3813
2019-08-19,5506
2019-08-26,3660
2019-09-02,1051
2019-09-09,7104
2019-09-16,10319
2019-09-23,6384
2019-09-30,62282
2019-10-07,33070
2019-10-14,72156
2019-10-21,33739
2019-10-28,13772
2019-11-04,19820
2019-11-11,18347
2019-11-18,49069
2019-11-25,49568
2019-12-02,31640
2019-12-09,33454
2019-12-16,43495
2019-12-23,46622
2019-12-30,21102
2020-01-06,33732
2020-01-13,37647
2020-01-20,29002
2020-01-27,74450
2020-02-03,19863
2020-02-10,35434
2020-02-17,18451
2020-02-24,2702
2020-03-02,3038
2020-03-09,7686
2020-03-16,20846
2020-03-23,5142
2020-03-30,28197
2020-04-06,22543
2020-04-13,21954
2020-04-20,14891
2020-04-27,48294
2020-05-04,24640
2020-05-11,49943
2020-05-18,46087
2020-05-25,48472
2020-06-01,55381
2020-06-08,54725
2020-06-15,26047
2020-06-22,51594
2020-06-29,23067
2020-07-06,38736
2020-07-13,5401
2020-07-20,37733
2020-07-27,17797
2020-08-03,21410
2020-08-10,40357
2020-08-17,53357
2020-08-24,21108
2020-08-31,24924
2020-09-07,39185
2020-09-14,12874
2020-09-21,14851
2020-09-28,36459
2020-10-05,24501
2020-10-12,36545
2020-10-19,27613
2020-10-26,34595
2020-11-02,33892
2020-11-09,34515
2020-11-16,45793
2020-11-23,38974
2020-11-30,41523
2020-12-07,24451
2020-12-14,47381
2020-12-21,8601
2020-12-28,18856
2021-01-04,17512
2021-01-11,33537
2021-01-18,53119
2021-01-25,14026
2021-02-01,74364
2021-02-08,35386
2021-02-15,36101
2021-02-22,43637
2021-03-01,27576
2021-03-08,12170
2021-03-15,20559
2021-03-22,30975
2021-03-29,34644
2021-04-05,20723
2021-04-12,35653
2021-04-19,18588
2021-04-26,58263
2021-05-03,14838
2021-05-10,26895
2021-05-17,38240
2021-05-24,12030
2021-05-31,85422
2021-06-07,51810
2021-06-14,20367
2021-06-21,69959
2021-06-28,27192
2021-07-05,14535
2021-07-12,13658
2021-07-19,27264
2021-07-26,29306
2021-08-02,36193
2021-08-09,24941
2021-08-16,27465
2021-08-23,24929
2021-08-30,19000
2021-09-06,38331
2021-09-13,27506
2021-09-20,29444
2021-09-27,39932
2021-10-04,17134
2021-10-11,27149
2021-10-18,53605
2021-10-25,73176
2021-11-01,16561
2021-11-08,28402
2021-11-15,74949
2021-11-22,66130
2021-11-29,48678
2021-12-06,54123
2021-12-13,68481
2021-12-20,46912
2021-12-27,71297
2022-01-03,11905
2022-01-10,21514
2022-01-17,30879
2022-01-24,43203
2022-01-31,1781
2022-02-07,25796
2022-02-14,18666
2022-02-21,29688
2022-02-28,3242
2022-03-07,480
2022-03-14,2809
2022-03-21,22946
2022-03-28,6422
2022-04-04,8580
2022-04-18,2200
2022-04-25,3782
2022-05-02,338
2022-05-09,133
2022-05-16,9980
2022-05-23,1164
2022-05-30,4826
2022-06-06,2915
2022-06-13,803
2022-06-20,98123
2022-06-27,75876
2022-07-04,10236
2022-07-11,99518
2022-07-18,53959
2022-07-25,127067
2022-08-01,22966
2022-08-08,71849
2022-08-15,45756
2022-08-22,42097
2022-08-29,21342
2022-09-05,81258
2022-09-12,22062
2022-09-19,62903
2022-09-26,141722
2022-10-03,2508
2022-10-10,120442
2022-10-17,22379
2022-10-24,76265
2022-10-31,150617
2022-11-07,53093
2022-11-14,129411
2022-11-21,47390
2022-11-28,90696
2022-12-05,67027
2022-12-12,22994
2022-12-19,28968
2022-12-26,56839
2023-01-02,164728
2023-01-09,54507
2023-01-16,19928
2023-01-30,24453
2023-02-06,31436
2023-02-13,72252
2023-02-20,32988
2023-02-27,17111
2023-03-06,250
2023-03-13,36520
2023-03-20,24944
2023-03-27,50582
2023-04-03,35817
2023-04-10,19128
2023-04-17,25605
2023-04-24,69079
2023-05-01,10
2023-05-08,39000
2023-05-15,5358
2023-05-22,46882
2023-05-29,75564
2023-06-05,49419
2023-06-12,31410
2023-06-19,61005
2023-06-26,52435
2023-07-03,112490
2023-07-10,65894
2023-07-17,91843
2023-07-24,74801
2023-07-31,85410
2023-08-07,46730
2023-08-14,83842
2023-08-21,48469
2023-08-28,57262
2023-09-04,62703
2023-09-11,97062
2023-09-18,36995
2023-09-25,115590
2023-10-02,11
2023-10-09,86922
2023-10-16,73421
2023-10-23,73727
2023-10-30,34772
2023-11-06,48420
2023-11-13,12223
2023-11-20,61678
2023-11-27,70742
2023-12-04,2854
2023-12-11,48272
2023-12-18,80213
2023-12-25,159360
2024-01-01,26454
2024-01-08,15268
2024-01-15,10800
2024-01-22,42060
2024-01-29,44218
2024-02-05,28272
2024-02-12,6100
2024-02-19,14986
2024-02-26,60608
2024-03-04,28210
2024-03-11,48386
2024-03-18,500
2024-03-25,109482
2024-04-01,29798
2024-04-08,13454
2024-04-15,40194
2024-04-22,14484
2024-04-29,23684
2024-05-06,35872
2024-05-13,22360
2024-05-20,11882
2024-05-27,146443
2024-06-03,28822
2024-06-10,44288
2024-06-17,58229
2024-06-24,108315
2024-07-01,55214
2024-07-08,30167
2024-07-15,45489
2024-07-22,54308
2024-07-29,21594
2024-08-05,16779
2024-08-12,58681
2024-08-19,90217
2024-08-26,360653
2024-09-02,14471
2024-09-09,57014
2024-09-16,43501
2024-09-23,170544
2024-09-30,15313
2024-10-07,99126
2024-10-14,6785
2024-10-21,50816
2024-10-28,25186
2024-11-04,46464
2024-11-11,68621
2024-11-18,16608
2024-11-25,11
